1    5.932948
2    5.996914
3    6.071067
4    6.113324
5    6.083791
6    6.158156
7    6.202822
8    6.276037
9    6.276261
10    6.366102
11    6.391272
12    6.369292
13    6.543782
14    6.638702
15    12.067225
16    12.299214
17    12.284373
18    12.325753
19    12.380146
20    12.553583
21    12.405896
22    12.401850
23    12.515616
24    12.507083
25    12.578345
26    12.657534
27    12.678826
28    12.758233
29    18.085527
30    18.463061
31    18.585102
32    18.616203
33    18.626203
34    18.574152
